id,http_code,elapsed_time
212,400,.010564903
183,400,.031840684
196,400,.028409597
219,400,.007209048
221,400,.006261676
223,400,.006048093
220,400,.007551901
218,400,.008370769
226,400,.006041018
227,400,.006222987
229,400,.006055046
228,400,.006301523
166,200,.047933184
174,200,.044427416
231,400,.006555000
234,400,.006446199
199,400,.038307878
236,400,.004738127
235,400,.005245861
237,400,.006083852
168,200,.052840429
186,400,.044133580
239,400,.005887483
242,400,.006176572
243,400,.004955163
244,400,.004800987
195,400,.048896715
187,400,.050885935
245,400,.008923167
247,400,.007030059
189,400,.050868585
250,400,.005676085
194,400,.051950642
251,400,.006215554
188,400,.055384767
253,400,.007784992
252,400,.007355228
153,200,.072189367
259,400,.006489555
260,400,.006413726
197,400,.060453135
258,400,.010286396
261,400,.008480438
263,400,.008714149
266,400,.007453688
161,200,.077796933
176,200,.073137646
255,400,.017433502
158,200,.080695301
267,400,.008771256
271,400,.008235123
269,400,.008791798
268,400,.015765426
276,400,.006001419
274,400,.006541372
275,400,.006645749
277,400,.007009867
145,200,.098535344
279,400,.009219512
222,200,.055564560
185,200,.083166518
192,200,.082680994
241,200,.045859931
283,400,.006718095
160,200,.100291752
182,200,.088918478
169,200,.096072894
285,400,.006768961
224,200,.062200709
193,200,.091757435
290,400,.010326576
293,400,.007156339
287,400,.014481433
284,400,.015677879
217,200,.072818855
282,400,.017302264
291,400,.011516008
295,400,.007774512
265,200,.040648977
292,400,.013774856
299,400,.007878014
208,200,.086611729
298,400,.010089474
177,200,.107882323
300,400,.006851185
233,200,.070229183
262,200,.047851851
249,200,.059307531
216,200,.084822800
248,200,.061025318
240,200,.069483469
303,400,.010024611
200,200,.108391462
209,200,.096437179
230,200,.082247631
306,400,.008646165
238,200,.075186097
190,200,.112394179
232,200,.079378861
301,400,.012577991
308,400,.009174713
307,400,.010201528
256,200,.069010738
246,200,.074481557
309,400,.015380203
314,400,.012351706
311,400,.016126947
323,400,.006427657
198,200,.118634533
317,400,.011329450
322,400,.007918977
330,400,.006331310
319,400,.013488475
315,400,.014047891
332,400,.006397352
327,400,.008443991
270,200,.059062457
325,400,.012075659
280,200,.055366656
324,400,.013044364
201,200,.116662833
340,400,.005991687
333,400,.009933960
184,200,.133417629
278,200,.061923580
339,400,.007771444
316,400,.025411372
214,200,.113923983
257,200,.080304977
341,400,.007226390
343,400,.008130301
331,400,.016127571
338,400,.012177650
281,200,.059493551
264,200,.080952552
254,200,.087578116
346,400,.008066876
288,200,.056473947
297,200,.047595149
302,200,.040129759
349,400,.007584121
206,200,.127059079
305,200,.037383815
347,400,.012465686
351,400,.009307827
225,200,.116158762
289,200,.061874007
335,400,.022034650
348,400,.014728367
355,400,.009447199
296,200,.057818261
357,400,.009724295
286,200,.067124345
294,200,.060740318
273,200,.082409837
313,200,.044641935
364,400,.007939652
367,400,.009344278
359,400,.014034652
354,400,.015990700
272,200,.086167663
362,400,.012434515
310,200,.050759720
365,400,.011471511
370,400,.008280916
371,400,.007232895
363,400,.013323727
356,400,.018891273
373,400,.008336597
312,200,.052570422
375,400,.013456567
378,400,.010870651
320,200,.058922181
372,400,.018701540
387,400,.009293628
391,400,.008321843
383,400,.014367884
389,400,.009656255
304,200,.070367505
318,200,.060752807
395,400,.009252056
381,400,.016381162
388,400,.010244552
380,400,.016485453
379,400,.016255800
397,400,.007722208
396,400,.010425387
345,200,.047117013
